timestamp,id_segmen,direction,speed_kmh,free_flow_speed_kmh,volume_veh_per_jam,congestion_index,source,quality_flag,is_simulation
2026-09-01T06:00:00+07:00,S00,forward,24.2,30,141,0.35,SURVEI_SIMULASI,ok,True
2026-09-01T07:00:00+07:00,S00,forward,19.2,30,263,0.66,SURVEI_SIMULASI,ok,True
2026-09-01T08:00:00+07:00,S00,forward,20.3,30,235,0.59,SURVEI_SIMULASI,ok,True
2026-09-01T09:00:00+07:00,S00,forward,19.2,30,263,0.66,SURVEI_SIMULASI,ok,True
2026-09-01T10:00:00+07:00,S00,forward,23.8,30,151,0.38,SURVEI_SIMULASI,ok,True
2026-09-01T11:00:00+07:00,S00,forward,23.7,30,154,0.38,SURVEI_SIMULASI,ok,True
2026-09-01T12:00:00+07:00,S00,forward,23.9,30,148,0.37,SURVEI_SIMULASI,ok,True
2026-09-01T13:00:00+07:00,S00,forward,24.9,30,123,0.31,SURVEI_SIMULASI,ok,True
2026-09-01T14:00:00+07:00,S00,forward,24.2,30,142,0.35,SURVEI_SIMULASI,ok,True
2026-09-01T15:00:00+07:00,S00,forward,24.4,30,135,0.34,SURVEI_SIMULASI,ok,True
2026-09-01T16:00:00+07:00,S00,forward,20.2,30,238,0.6,SURVEI_SIMULASI,ok,True
2026-09-01T17:00:00+07:00,S00,forward,21.5,30,206,0.52,SURVEI_SIMULASI,ok,True
2026-09-01T18:00:00+07:00,S00,forward,21.5,30,206,0.52,SURVEI_SIMULASI,ok,True
2026-09-01T19:00:00+07:00,S00,forward,20.4,30,233,0.58,SURVEI_SIMULASI,ok,True
2026-09-02T06:00:00+07:00,S00,forward,23.5,30,158,0.4,SURVEI_SIMULASI,ok,True
2026-09-02T07:00:00+07:00,S00,forward,20.8,30,223,0.56,SURVEI_SIMULASI,ok,True
2026-09-02T08:00:00+07:00,S00,forward,19.8,30,247,0.62,SURVEI_SIMULASI,ok,True
2026-09-02T09:00:00+07:00,S00,forward,20.0,30,242,0.6,SURVEI_SIMULASI,ok,True
2026-09-02T10:00:00+07:00,S00,forward,24.0,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-02T11:00:00+07:00,S00,forward,23.7,30,152,0.38,SURVEI_SIMULASI,ok,True
2026-09-02T12:00:00+07:00,S00,forward,24.6,30,132,0.33,SURVEI_SIMULASI,ok,True
2026-09-02T13:00:00+07:00,S00,forward,24.5,30,132,0.33,SURVEI_SIMULASI,ok,True
2026-09-02T14:00:00+07:00,S00,forward,24.3,30,137,0.34,SURVEI_SIMULASI,ok,True
2026-09-02T15:00:00+07:00,S00,forward,24.4,30,136,0.34,SURVEI_SIMULASI,ok,True
2026-09-02T16:00:00+07:00,S00,forward,20.5,30,231,0.58,SURVEI_SIMULASI,ok,True
2026-09-02T17:00:00+07:00,S00,forward,20.6,30,227,0.57,SURVEI_SIMULASI,ok,True
2026-09-02T18:00:00+07:00,S00,forward,20.4,30,233,0.58,SURVEI_SIMULASI,ok,True
2026-09-02T19:00:00+07:00,S00,forward,20.0,30,243,0.61,SURVEI_SIMULASI,ok,True
2026-09-08T06:00:00+07:00,S00,forward,23.4,30,160,0.4,SURVEI_SIMULASI,ok,True
2026-09-08T07:00:00+07:00,S00,forward,19.6,30,252,0.63,SURVEI_SIMULASI,ok,True
2026-09-08T08:00:00+07:00,S00,forward,20.7,30,226,0.56,SURVEI_SIMULASI,ok,True
2026-09-08T09:00:00+07:00,S00,forward,20.8,30,223,0.56,SURVEI_SIMULASI,ok,True
2026-09-08T10:00:00+07:00,S00,forward,24.0,30,146,0.37,SURVEI_SIMULASI,ok,True
2026-09-08T11:00:00+07:00,S00,forward,23.9,30,149,0.37,SURVEI_SIMULASI,ok,True
2026-09-08T12:00:00+07:00,S00,forward,24.7,30,129,0.32,SURVEI_SIMULASI,ok,True
2026-09-08T13:00:00+07:00,S00,forward,24.9,30,124,0.31,SURVEI_SIMULASI,ok,True
2026-09-08T14:00:00+07:00,S00,forward,23.7,30,154,0.38,SURVEI_SIMULASI,ok,True
2026-09-08T15:00:00+07:00,S00,forward,23.7,30,153,0.38,SURVEI_SIMULASI,ok,True
2026-09-08T16:00:00+07:00,S00,forward,20.7,30,225,0.56,SURVEI_SIMULASI,ok,True
2026-09-08T17:00:00+07:00,S00,forward,21.5,30,205,0.51,SURVEI_SIMULASI,ok,True
2026-09-08T18:00:00+07:00,S00,forward,20.0,30,243,0.61,SURVEI_SIMULASI,ok,True
2026-09-08T19:00:00+07:00,S00,forward,21.1,30,217,0.54,SURVEI_SIMULASI,ok,True
2026-09-09T06:00:00+07:00,S00,forward,23.8,30,151,0.38,SURVEI_SIMULASI,ok,True
2026-09-09T07:00:00+07:00,S00,forward,20.5,30,230,0.58,SURVEI_SIMULASI,ok,True
2026-09-09T08:00:00+07:00,S00,forward,20.2,30,238,0.59,SURVEI_SIMULASI,ok,True
2026-09-09T09:00:00+07:00,S00,forward,19.2,30,263,0.66,SURVEI_SIMULASI,ok,True
2026-09-09T10:00:00+07:00,S00,forward,23.7,30,152,0.38,SURVEI_SIMULASI,ok,True
2026-09-09T11:00:00+07:00,S00,forward,23.6,30,156,0.39,SURVEI_SIMULASI,ok,True
2026-09-09T12:00:00+07:00,S00,forward,24.6,30,130,0.33,SURVEI_SIMULASI,ok,True
2026-09-09T13:00:00+07:00,S00,forward,24.0,30,146,0.37,SURVEI_SIMULASI,ok,True
2026-09-09T14:00:00+07:00,S00,forward,23.6,30,156,0.39,SURVEI_SIMULASI,ok,True
2026-09-09T15:00:00+07:00,S00,forward,23.9,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-09T16:00:00+07:00,S00,forward,20.6,30,228,0.57,SURVEI_SIMULASI,ok,True
2026-09-09T17:00:00+07:00,S00,forward,20.6,30,229,0.57,SURVEI_SIMULASI,ok,True
2026-09-09T18:00:00+07:00,S00,forward,20.5,30,230,0.57,SURVEI_SIMULASI,ok,True
2026-09-09T19:00:00+07:00,S00,forward,20.2,30,237,0.59,SURVEI_SIMULASI,ok,True
2026-09-03T06:00:00+07:00,S00,forward,24.1,30,143,0.36,SURVEI_SIMULASI,ok,True
2026-09-03T07:00:00+07:00,S00,forward,19.9,30,244,0.61,SURVEI_SIMULASI,ok,True
2026-09-03T08:00:00+07:00,S00,forward,20.6,30,229,0.57,SURVEI_SIMULASI,ok,True
2026-09-03T09:00:00+07:00,S00,forward,20.3,30,234,0.58,SURVEI_SIMULASI,ok,True
2026-09-03T10:00:00+07:00,S00,forward,23.9,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-03T11:00:00+07:00,S00,forward,24.2,30,141,0.35,SURVEI_SIMULASI,ok,True
2026-09-03T12:00:00+07:00,S00,forward,24.8,30,127,0.32,SURVEI_SIMULASI,ok,True
2026-09-03T13:00:00+07:00,S00,forward,24.4,30,136,0.34,SURVEI_SIMULASI,ok,True
2026-09-03T14:00:00+07:00,S00,forward,23.7,30,153,0.38,SURVEI_SIMULASI,ok,True
2026-09-03T15:00:00+07:00,S00,forward,23.6,30,156,0.39,SURVEI_SIMULASI,ok,True
2026-09-03T16:00:00+07:00,S00,forward,11.5,30,317,0.79,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-03T17:00:00+07:00,S00,forward,12.4,30,283,0.71,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-03T18:00:00+07:00,S00,forward,20.0,30,242,0.6,SURVEI_SIMULASI,ok,True
2026-09-03T19:00:00+07:00,S00,forward,20.2,30,238,0.59,SURVEI_SIMULASI,ok,True
2026-09-04T06:00:00+07:00,S00,forward,24.4,30,136,0.34,SURVEI_SIMULASI,ok,True
2026-09-04T07:00:00+07:00,S00,forward,20.8,30,224,0.56,SURVEI_SIMULASI,ok,True
2026-09-04T08:00:00+07:00,S00,forward,19.4,30,256,0.64,SURVEI_SIMULASI,ok,True
2026-09-04T09:00:00+07:00,S00,forward,20.3,30,236,0.59,SURVEI_SIMULASI,ok,True
2026-09-04T10:00:00+07:00,S00,forward,24.3,30,139,0.35,SURVEI_SIMULASI,ok,True
2026-09-04T11:00:00+07:00,S00,forward,23.6,30,156,0.39,SURVEI_SIMULASI,ok,True
2026-09-04T12:00:00+07:00,S00,forward,23.9,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-04T13:00:00+07:00,S00,forward,24.5,30,134,0.34,SURVEI_SIMULASI,ok,True
2026-09-04T14:00:00+07:00,S00,forward,23.7,30,153,0.38,SURVEI_SIMULASI,ok,True
2026-09-04T15:00:00+07:00,S00,forward,24.0,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-04T16:00:00+07:00,S00,forward,11.2,30,326,0.82,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-04T17:00:00+07:00,S00,forward,11.1,30,331,0.83,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-04T18:00:00+07:00,S00,forward,20.4,30,232,0.58,SURVEI_SIMULASI,ok,True
2026-09-04T19:00:00+07:00,S00,forward,20.0,30,243,0.61,SURVEI_SIMULASI,ok,True
2026-09-05T06:00:00+07:00,S00,forward,24.2,30,140,0.35,SURVEI_SIMULASI,ok,True
2026-09-05T07:00:00+07:00,S00,forward,20.0,30,242,0.6,SURVEI_SIMULASI,ok,True
2026-09-05T08:00:00+07:00,S00,forward,20.8,30,223,0.56,SURVEI_SIMULASI,ok,True
2026-09-05T09:00:00+07:00,S00,forward,20.8,30,223,0.56,SURVEI_SIMULASI,ok,True
2026-09-05T10:00:00+07:00,S00,forward,24.0,30,145,0.36,SURVEI_SIMULASI,ok,True
2026-09-05T11:00:00+07:00,S00,forward,23.5,30,158,0.39,SURVEI_SIMULASI,ok,True
2026-09-05T12:00:00+07:00,S00,forward,24.2,30,141,0.35,SURVEI_SIMULASI,ok,True
2026-09-05T13:00:00+07:00,S00,forward,23.9,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-05T14:00:00+07:00,S00,forward,23.3,30,161,0.4,SURVEI_SIMULASI,ok,True
2026-09-05T15:00:00+07:00,S00,forward,23.3,30,163,0.41,SURVEI_SIMULASI,ok,True
2026-09-05T16:00:00+07:00,S00,forward,12.3,30,290,0.72,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-05T17:00:00+07:00,S00,forward,12.0,30,300,0.75,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-05T18:00:00+07:00,S00,forward,20.3,30,234,0.58,SURVEI_SIMULASI,ok,True
2026-09-05T19:00:00+07:00,S00,forward,20.5,30,230,0.57,SURVEI_SIMULASI,ok,True
2026-09-06T06:00:00+07:00,S00,forward,24.3,30,138,0.35,SURVEI_SIMULASI,ok,True
2026-09-06T07:00:00+07:00,S00,forward,21.2,30,213,0.53,SURVEI_SIMULASI,ok,True
2026-09-06T08:00:00+07:00,S00,forward,21.4,30,208,0.52,SURVEI_SIMULASI,ok,True
2026-09-06T09:00:00+07:00,S00,forward,21.0,30,218,0.55,SURVEI_SIMULASI,ok,True
2026-09-06T10:00:00+07:00,S00,forward,24.5,30,133,0.33,SURVEI_SIMULASI,ok,True
2026-09-06T11:00:00+07:00,S00,forward,24.4,30,137,0.34,SURVEI_SIMULASI,ok,True
2026-09-06T12:00:00+07:00,S00,forward,25.4,30,111,0.28,SURVEI_SIMULASI,ok,True
2026-09-06T13:00:00+07:00,S00,forward,25.1,30,118,0.29,SURVEI_SIMULASI,ok,True
2026-09-06T14:00:00+07:00,S00,forward,25.0,30,122,0.3,SURVEI_SIMULASI,ok,True
2026-09-06T15:00:00+07:00,S00,forward,24.4,30,136,0.34,SURVEI_SIMULASI,ok,True
2026-09-06T16:00:00+07:00,S00,forward,11.9,30,304,0.76,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-06T17:00:00+07:00,S00,forward,12.0,30,299,0.75,SURVEI_SIMULASI,penerima_pengalihan,True
2026-09-06T18:00:00+07:00,S00,forward,21.3,30,211,0.53,SURVEI_SIMULASI,ok,True
2026-09-06T19:00:00+07:00,S00,forward,21.4,30,208,0.52,SURVEI_SIMULASI,ok,True
2026-09-07T06:00:00+07:00,S00,forward,23.9,30,148,0.37,SURVEI_SIMULASI,ok,True
2026-09-07T07:00:00+07:00,S00,forward,21.5,30,207,0.52,SURVEI_SIMULASI,ok,True
2026-09-07T08:00:00+07:00,S00,forward,20.9,30,221,0.55,SURVEI_SIMULASI,ok,True
2026-09-07T09:00:00+07:00,S00,forward,21.0,30,217,0.54,SURVEI_SIMULASI,ok,True
2026-09-07T10:00:00+07:00,S00,forward,24.9,30,124,0.31,SURVEI_SIMULASI,ok,True
2026-09-07T11:00:00+07:00,S00,forward,23.9,30,147,0.37,SURVEI_SIMULASI,ok,True
2026-09-07T12:00:00+07:00,S00,forward,24.5,30,133,0.33,SURVEI_SIMULASI,ok,True
2026-09-07T13:00:00+07:00,S00,forward,25.1,30,120,0.3,SURVEI_SIMULASI,ok,True
2026-09-07T14:00:00+07:00,S00,forward,24.7,30,128,0.32,SURVEI_SIMULASI,ok,True
