id,lon,lat
7803109387,106.6110796,-6.137763
8484814901,106.6717709,-6.1466254
8484814908,106.6717819,-6.1465122
8484814911,106.6714136,-6.1464898
9119072342,106.6015609,-6.1884647
9548988515,106.6676183,-6.163342
7133724773,106.6531836,-6.196038
8485732480,106.6529835,-6.1652963
8485732483,106.6489733,-6.170137
8485732484,106.6529784,-6.1652078
8485732485,106.6524571,-6.1657463
8485732486,106.6520809,-6.1660623
8485732488,106.6517351,-6.166359
8485732491,106.6499774,-6.1680143
8485732492,106.6496995,-6.1682897
8485732493,106.6494682,-6.1686309
8485732494,106.6491701,-6.169229
12172787864,106.6582426,-6.1822182
12172787871,106.6609146,-6.1830686
7249199298,106.6831584,-6.1954818
8527806660,106.6341794,-6.2056243
7249199301,106.6831559,-6.1959183
7249199300,106.6831363,-6.1958757
8527806664,106.6339861,-6.2058798
7249199309,106.6831175,-6.1918983
11190141133,106.6554942,-6.1770132
8547860691,106.6794381,-6.1698806
12184060116,106.6752296,-6.17589
8547860692,106.6796809,-6.1698436
9742975211,106.5939635,-6.1910393
9742975212,106.5944584,-6.1910739
9742975213,106.594278,-6.1910456
4307159489,106.597161,-6.1628462
4307159491,106.5979202,-6.1629792
8488878382,106.6265027,-6.1546981
8488878388,106.6271821,-6.1547696
9682420022,106.651231,-6.168037
4307159497,106.5963122,-6.1632851
7217742141,106.6151751,-6.1791449
7217742146,106.6152518,-6.1791696
7217742148,106.6151996,-6.1795258
8547729737,106.6671878,-6.1546834
8547729738,106.6671524,-6.1549524
8506310990,106.5921644,-6.1985962
4307159502,106.6107023,-6.1634891
7217742171,106.615471,-6.1814159
4307159504,106.6097255,-6.1634973
7806386545,106.6113643,-6.196547
4307159510,106.6095628,-6.1636751
4307159517,106.6050021,-6.1638423
4307159523,106.6082168,-6.1639029
12143135411,106.6653881,-6.1583441
4307159530,106.6062805,-6.1639954
12143135415,106.6675302,-6.1582408
8803975677,106.6076012,-6.1628436
10244194819,106.6553935,-6.1901377
4307159537,106.6081443,-6.1641535
7210795549,106.6084823,-6.1818682
7061897759,106.6000507,-6.2046799
7061897760,106.6000128,-6.205309
7061897762,106.5991486,-6.2046159
8434483748,106.647715,-6.2092969
8434483749,106.6477116,-6.2095337
4307159544,106.6056719,-6.1642298
8793752112,106.5852255,-6.1604889
8793752114,106.5851028,-6.1607702
4307159548,106.6097586,-6.1642696
8524137025,106.5892468,-6.1429562
10102112843,106.6757059,-6.1596734
4307159562,106.6099471,-6.1644943
8556642947,106.6557073,-6.172971
6804472457,106.6556867,-6.164714
8556642954,106.6556261,-6.1727063
8556642957,106.6557524,-6.1734182
4307159564,106.6062766,-6.1645253
4307159565,106.6064991,-6.1645279
8527807123,106.6300334,-6.2057644
12173312667,106.6612623,-6.1817403
4307159569,106.6077328,-6.1646058
7122977457,106.6393912,-6.1714482
4307159572,106.6080042,-6.1646379
8485077691,106.6116207,-6.177299
8485077692,106.6113684,-6.1772943
4307159577,106.6099658,-6.1647296
4307159579,106.6031132,-6.164774
4307159580,106.6042074,-6.1647757
7027688227,106.5990222,-6.203089
4307159595,106.6031803,-6.1650316
9612821290,106.6399627,-6.1959652
9612821289,106.6402624,-6.1960724
4307159599,106.6042039,-6.1650837
4307159600,106.6045184,-6.1650898
4307159610,106.6100932,-6.1652136
4307159613,106.6032455,-6.1652824
4307159620,106.6042016,-6.1652917
4307159622,106.6090283,-6.1652948
4307159623,106.6087722,-6.1653178
12173706187,106.6582604,-6.1902207
7120487396,106.6593658,-6.1760163
8488092644,106.6523861,-6.1580795
8488092646,106.6523593,-6.1583962
4307159634,106.6074626,-6.1654576
9110684661,106.5952572,-6.1881145
9110684662,106.5916179,-6.1911926
9110684667,106.5916099,-6.1907553
4307159640,106.6033145,-6.1655473
4307159642,106.6041986,-6.1655558
7222068252,106.6341215,-6.1573248
7222068263,106.6353953,-6.1574385
6709314608,106.657326,-6.1701039
7222068275,106.6398796,-6.1583942
7231898685,106.6676404,-6.1480445
7134381119,106.6662233,-6.1831063
4307159652,106.6126354,-6.1657227
7120094292,106.6352256,-6.2005377
7120094294,106.635232,-6.2005662
3914859608,106.6086486,-6.1896921
3914859609,106.6102976,-6.1897159
3914859610,106.6112122,-6.1897412
3914859611,106.6123357,-6.1897501
3914859612,106.6102579,-6.1910364
7120094301,106.6352025,-6.2003655
7120094303,106.6351109,-6.1999566
7120094305,106.6345786,-6.2002333
5636359268,106.6678047,-6.1634849
5636359269,106.6750976,-6.163029
4307159658,106.6041949,-6.1658877
5636359271,106.6751714,-6.1640485
5636359272,106.6773151,-6.1578915
7120094313,106.6351419,-6.2000274
5636359277,106.6753329,-6.1580761
5636359280,106.6800866,-6.1566807
5636359281,106.6797633,-6.1566848
4307159660,106.6044995,-6.1658925
7120094324,106.6352031,-6.2004308
5636359287,106.6813888,-6.153146
7120094328,106.6367102,-6.2005235
7120094330,106.6364376,-6.200446
5636359292,106.6719199,-6.1637769
5636359293,106.6740329,-6.1642257
5636359294,106.6741383,-6.1639993
5636359295,106.6766399,-6.1548781
7120094333,106.637478,-6.2003945
5636359297,106.6764307,-6.1552234
5636359300,106.6717977,-6.1611643
7120094341,106.6371276,-6.2004915
5636359301,106.6715578,-6.1613576
5636359311,106.6751298,-6.1579502
5636359312,106.6713747,-6.1584088
8524006563,106.6339613,-6.2014741
13982500023,106.623418,-6.1352334
4307159678,106.6074298,-6.1660184
4307159679,106.6039078,-6.1660704
4307159680,106.6034431,-6.166071
12197430486,106.6481805,-6.1577231
12197430487,106.6469797,-6.157688
12197430488,106.6474106,-6.1577091
12197430489,106.64862,-6.1559402
12197430490,106.6486177,-6.1557339
12197430491,106.648188,-6.1557217
12197430492,106.6481911,-6.1559664
12197430493,106.6474279,-6.1559541
12197430494,106.6474262,-6.1557218
12197430495,106.6469914,-6.1557198
12197430496,106.6469876,-6.1559582
8488223986,106.6104215,-6.1581368
3914859763,106.610142,-6.1910517
3914859764,106.6101047,-6.1920551
4307159686,106.6041921,-6.1661398
4307159687,106.6132275,-6.1661473
8509195565,106.6630988,-6.1754876
5621024048,106.613734,-6.1432676
4307159700,106.6039054,-6.1663075
4307159703,106.60734,-6.1663216
4307159705,106.6041897,-6.1663571
2027816277,106.6287846,-6.1703437
7249200486,106.6213489,-6.1619682
7249200495,106.620803,-6.1612236
7249200498,106.6211236,-6.1619616
12181046642,106.6735218,-6.1902046
12181046643,106.6735474,-6.1905167
12181046644,106.6733688,-6.1904821
7249200502,106.6225049,-6.1676201
12181046647,106.6746883,-6.1905654
12181046648,106.6749674,-6.1899857
7249200504,106.6221858,-6.1669767
7249200506,106.6220715,-6.1644729
12181046650,106.6744888,-6.1903254
4307159713,106.605086,-6.1665237
13202097533,106.6248076,-6.174517
12181046649,106.6750512,-6.1900056
7249200511,106.6223013,-6.1629663
7249200513,106.6234991,-6.1635823
7249200515,106.622301,-6.1635631
7249200518,106.6225813,-6.1610142
7249200519,106.6225746,-6.1617988
7249200520,106.6220697,-6.1613002
4307159718,106.6071983,-6.1666201
5621024186,106.5924033,-6.1473676
12319983038,106.5923556,-6.1381183
5636359621,106.671366,-6.1583345
5636359622,106.6821395,-6.1546573
5636359623,106.6734467,-6.1528593
5636359624,106.6734756,-6.1534594
5636359625,106.6743707,-6.1529727
5636359626,106.6744077,-6.1535433
5636359627,106.6690506,-6.1535274
8509064649,106.6289713,-6.1719748
5636359629,106.6688865,-6.1537659
5636359632,106.6678336,-6.1534358
5636359633,106.6678645,-6.1533655
5636359634,106.668768,-6.1538269
5636359635,106.6688002,-6.1537609
5636359636,106.6697252,-6.1541034
5636359641,106.6719172,-6.1545081
5636359642,106.6719189,-6.1546184
7131515473,106.6704756,-6.1783663
7131515474,106.6708574,-6.1794349
4307159737,106.6140479,-6.1669066
10925770236,106.6047064,-6.1952551
5547361885,106.6130855,-6.1806782
4039378530,106.6851996,-6.1949246
10943465063,106.6512277,-6.1765252
8509720202,106.5937252,-6.1693924
8509720207,106.5931374,-6.1690423
3726771862,106.6793026,-6.2033917
3726771865,106.6809139,-6.2037249
3726771866,106.6818027,-6.2031171
3726771871,106.6808714,-6.203956
8505814387,106.5952107,-6.1527513
6555174597,106.6477378,-6.1606716
11975001799,106.6146333,-6.1728137
6555174611,106.6490505,-6.1701361
6555174618,106.6452341,-6.1639824
6555174622,106.6447437,-6.1621577
6555174623,106.6441047,-6.1621689
6555174642,106.6456678,-6.1615562
6555174643,106.6457369,-6.1615531
6555174648,106.6436662,-6.1633673
8521002473,106.6209975,-6.2070051
4307159790,106.6139441,-6.1675698
8536590091,106.6554135,-6.1917039
